state,mpi_value,H_headcount_pct,A_intensity_pct,vulnerable_pct,severe_poverty_pct,pop_share_pct,contrib_nutrition,contrib_child_mort,contrib_yrs_school,contrib_school_att,contrib_sanitation,contrib_electricity,dim_health_contrib,dim_education_contrib,dim_livingst_contrib,shdi,education_index,health_index,income_index,female_lfpr_rural,female_lfpr_urban,female_lfpr_total,male_lfpr_total,sdg1_score,sdg4_score,female_sec_ger,female_literacy,sanitation_pct,infra_spend_pc,rural_pop_pct,gender_lfpr_gap,rural_urban_lfpr_gap,log_infra_spend,mpi_x_H,region,mpi_value_log,infra_spend_pc_log,rural_pop_pct_log
Andaman & Nicobar Islands,0.014182129,3.670766433,38.63533525,10.16183242,0.457524782,0.028515488,0.014182129,24.70582426,21.84999883,53.44417691,1.407358112,3.209289892,24.72000639,75.29417574,67.64428585,0.762,0.768,0.781,0.737,,,,,85,87,95,81,97,18500,34,,,9.825526011,0.052059284,Island,-4.255772616,9.825526011,3.526360525
Andhra Pradesh,0.028621163,7.321519825,39.09183312,15.53389408,0.968155377,3.794755219,0.028621163,33.71724784,32.47397244,33.8087827,4.192044346,3.955002409,33.74586901,66.28275514,83.39675676,0.685,0.634,0.734,0.689,42,22.6,37,73.8,71,71,79,60,81,9800,70,36.8,19.4,9.190137665,0.209550413,South,-3.553608866,9.190137665,4.248495242
Arunachal Pradesh,0.054071322,13.20612997,40.94410853,18.46087232,2.744821162,0.079992009,0.054071322,22.70493358,35.7126981,41.5823698,2.110932273,9.635299078,22.75900491,77.29506791,75.32298924,0.729,0.707,0.787,0.695,37.5,28.1,35.5,72.3,58,60,65,57,50,7200,77,36.8,9.4,8.881836305,0.714072904,Northeast,-2.917451328,8.881836305,4.343805422
Assam,0.08991838,21.41045718,41.99741243,21.69236765,5.433312344,2.669093396,0.08991838,30.91203868,24.39564317,44.69231665,2.472713361,6.457908975,31.00195706,69.08795983,75.23938126,0.661,0.663,0.738,0.591,30.4,17.5,26.7,77.2,52,58,64,56,56,6500,86,50.5,12.9,8.779557456,1.925193625,Northeast,-2.408852909,8.779557456,4.454347296
Bihar,0.154399465,34.66086477,44.54576248,19.9787392,13.19122522,9.024021866,0.154399465,30.70590496,30.87134957,38.42274547,3.719042341,9.902727894,30.86030443,69.29409504,82.51901958,0.614,0.584,0.695,0.571,14.9,8.4,13.4,75.8,43,46,51,33,61,5800,89,62.4,6.5,8.665613197,5.351618974,North,-1.868212107,8.665613197,4.48863637
Chandigarh,0.017812775,3.942631313,45.17991576,6.939983657,1.182981963,0.066383447,0.017812775,32.67853558,42.62488484,24.69657958,7.632801378,21.64909148,32.69634836,67.32146442,89.20379549,0.807,0.876,0.766,0.782,,,,,89,90,97,85,98,22000,3,,,9.998797732,0.070229205,North,-4.027839379,9.998797732,1.098612289
Chhattisgarh,0.073174589,17.88479277,40.91441809,24.00071255,3.730768892,2.409904499,0.073174589,32.61938095,25.49077868,41.88984334,3.800969132,8.909146549,32.69255554,67.38062203,78.97932738,0.669,0.653,0.718,0.637,51.8,20.4,44.5,76.4,60,62,67,52,73,9200,77,31.9,31.4,9.126958763,1.308712359,East,-2.614907064,9.126958763,4.343805422
Dadra & Nagar Haveli and Daman & Diu,0.055893856,14.26845606,39.17302297,19.37862399,2.41201469,0.039193615,0.055893856,39.12904561,22.82029092,38.05066347,3.365480779,7.286870633,39.18493946,60.87095439,80.00694133,0.674,0.64,0.744,0.642,,,,,82,83,82,76,96,16000,47,,,9.680344001,0.797519024,West,-2.884300821,9.680344001,3.850147602
Delhi,0.013387658,3.354281318,39.91215173,7.189266239,0.48898502,1.409612919,0.013387658,40.48627615,40.40972888,19.10399497,7.980198605,17.2243711,40.49966381,59.51372385,91.03992536,0.795,0.874,0.753,0.765,9.2,14.2,13.1,67.5,88,90,97,81,98,22500,3,54.4,-5,10.02127059,0.044905973,North,-4.313422005,10.02127059,1.098612289
Goa,0.005327998,1.393799813,38.22642483,6.389050249,0.136081224,0.141412013,0.005327998,47.12523222,25.90608895,26.96867883,7.066651008,5.99808629,47.13056022,52.87476778,88.95602351,0.824,0.89,0.8,0.784,24.4,24.2,24.3,70.5,91,88,96,85,98,18500,38,46.2,0.2,9.825526011,0.007426163,West,-5.23477965,9.825526011,3.63758616
